Russian,Polish
Тест (Мы пишем тест по грамматике),Test (Piszemy test z gramatyki)
Рекомендовать (Я рекомендую этот ресторан),Polecać (Polecam tę restaurację)
Быть должным (Я должен идти на работу),Musieć (Muszę iść do pracy)
"Когда (Когда я был ребёнком, я жил в Гданьске)","Gdy (Gdy byłem dzieckiem, mieszkałem w Gdańsku)"
Свадьба (Моя свадьба была в мае),Ślub (Mój ślub był w maju)
Пригласить (Я пригласил друзей на день рождения),Zaprosić (Zaprosiłem przyjaciół na urodziny)
Исправить; ремонт (Ремонт машины стоит дорого),Naprawa (Naprawa samochodu kosztuje dużo)
Отдых (Мне нужен отдых),Wypoczynek (Potrzebuję wypoczynku)
Предложение (У меня интересное предложение работы),Oferta (Mam ciekawą ofertę pracy)
Коллега (Мой коллега по работе говорит по-английски),Kolega (Mój kolega z pracy mówi po angielsku)
Близкий (Это ближе к правде),Bliży (To jest bliższe prawdy)
Сестра (Моя сестра живёт в Кракове),Siostra (Moja siostra mieszka w Krakowie)
Музей (Национальный музей стоит посетить),Muzeum (Muzeum Narodowe jest warte zwiedzenia)
Важный (Это важное дело),Ważny (To jest ważna sprawa)
Сказать (Скажи мне правду),Powiedzieć (Powiedz mi prawdę)
Звучать (Это звучит хорошо),Brzmieć (To brzmi dobrze)
Хорошо (Я чувствую себя хорошо),Dobrze (Czuję się dobrze)
Желать (Желаю тебе всего хорошего),Życzyć (Życzę ci wszystkiego dobrego)
Жизнь (Жизнь в Гданьске приятная),Życie (Życie w Gdańsku jest przyjemne)
Нуждаться (Я нуждаюсь в твоей помощи),Potrzebować (Potrzebuję twojej pomocy)
Другой (У меня другая идея),Inny (Mam inny pomysł)
Любить (Я люблю учить языки),Lubić (Lubię uczyć się języków)
"Думать (Думаю, это хорошая идея)","Myśleć (Myślę, że to dobry pomysł)"
Весь (Все пришли вовремя),Wszyscy (Wszyscy przyszli na czas)
Очень (Большое спасибо),Bardzo (Bardzo dziękuję)
Быстро (Ты говоришь слишком быстро),Szybko (Mówisz zbyt szybko)
Часть (Часть города старая),Część (Część miasta jest stara)
Диалог (Напиши диалог между двумя людьми),Dialog (Napisz dialog między dwiema osobami)
Выполнить (Я выполнил задание),Wykonać (Wykonałem zadanie)
Отметить (Отметь правильный ответ),Zaznaczyć (Zaznacz poprawną odpowiedź)
"Следовать (Из этого следует, что ты прав)","Wynikać (Z tego wynika, że masz rację)"
Вокзал (Главный вокзал в центре),Dworzec (Dworzec Główny jest w centrum)
Причина (Какая причина твоего визита?),Powód (Jaki jest powód twojej wizyty?)
Команда (Я играл в музыкальной группе),Zespół (Grałem w zespole muzycznym)
Сдать; мнение (Я сдал экзамен отлично),Zdać (Zdałem egzamin celująco)
Курс (Я запишусь на курс польского),Kurs (Zapiszę się na kurs polskiego)
В течение (В течение дня я работаю),Ciąg (W ciągu dnia pracuję)
Ситуация (Ситуация сложная),Sytuacja (Sytuacja jest trudna)
Гора (Завтра мы идём в горы),Góra (Jutro idziemy w góry)
Дело (Это важное дело),Sprawa (To ważna sprawa)
Поддержать (Поддержи меня в этом деле),Wesprzeć (Wesprzyj mnie w tej sprawie)
Попробовать (Попробуй этот пирог),Spróbować (Spróbuj tego ciasta)
Кондитерская (Эта кондитерская имеет вкусные пирожные),Cukiernia (Ta cukiernia ma pyszne ciastka)
Участие (Я принимаю участие в курсе),Udział (Biorę udział w kursie)
Польский; Польша (Польша — красивая страна),Polska (Polska to piękny kraj)
Некоторый (Некоторые слова сложные),Niektóry (Niektóre słowa są trudne)
Встреча (У меня встреча в пять),Spotkanie (Mam spotkanie o piątej)
Отель (Я забронировал номер в отеле),Hotel (Zarezerwowałem pokój w hotelu)
"Жаль (Мне жаль, но я не могу прийти)","Przykro (Przykro mi, ale nie mogę przyjść)"
Приятно (Приятно познакомиться),Miło (Miło cię poznać)
Прийти (Приди ко мне завтра),Przyjść (Przyjdź do mnie jutro)
Сегодня (Сегодня холодно),Dzisiaj (Dzisiaj jest zimno)
Наш (Наш дом недалеко),Nasz (Nasz dom jest niedaleko)
"Порядок (Пожалуйста, соблюдайте порядок)",Porządek (Proszę utrzymać porządek)
"Даже (Я даже не знаю, что сказать)","Nawet (Nawet nie wiem, co powiedzieć)"
Ходить (Я хожу гулять каждый день),Chodzić (Chodzę na spacer codziennie)
Говорить (Я говорю по-польски),Mówić (Mówię po polsku)
Книга (Я читаю интересную книгу),Książka (Czytam ciekawą książkę)
Весь (Все вещи на столе),Wszystka (Wszystkie rzeczy są na stole)
Цена (Цена билета — двадцать злотых),Cena (Cena biletu to dwadzieścia złotych)
Злотый (Это стоит десять злотых),Złot (To kosztuje dziesięć złotych)
"Подчеркнуть (Хочу подчеркнуть, что это важно)","Podkreślić (Chcę podkreślić, że to ważne)"
Мочь (Мы могли бы пойти гулять),Moglibyśmy (Moglibyśmy pójść na spacer)
Событие (Это важное событие),Wydarzenie (To ważne wydarzenie)
Месяц (Месяц назад я был в Варшаве),Miesiąc (Miesiąc temu byłem w Warszawie)
Ответ (Я знаю ответ на этот вопрос),Odpowiedź (Znam odpowiedź na to pytanie)
Письмо (Я написал длинное письмо),List (Napisałem długi list)
Содержание (Содержание письма было грустным),Treść (Treść listu była smutna)
Мужчина (Этот мужчина — мой брат),Mężczyzna (Ten mężczyzna to mój brat)
Оба (Оба решения хороши),Obydwa (Obydwa rozwiązania są dobre)
Скобка (В скобках напиши пример),Nawias (W nawiasie napisz przykład)
Состоять (Предложение состоит из слов),Składać (Zdanie składa się ze słów)
Предложение (Составь предложение по-польски),Zdanie (Ułóż zdanie po polsku)
Пробовать (Я пытаюсь выучить польский),Próbować (Próbuję nauczyć się polskiego)
Вечеринка (Я был на классной вечеринке),Impreza (Byłem na fajnej imprezie)
Играть (Я играю в футбол),Grać (Gram w piłkę nożną)
Интересный (Это интересный фильм),Ciekawy (To jest ciekawy film)
Театр (Мы идём в театр в субботу),Teatr (Idziemy do teatru w sobotę)
Группа (Я учусь в группе),Grupa (Uczę się w grupie)
Зал (Лекционный зал большой),Sala (Sala wykładowa jest duża)
Учитель (Мой учитель требовательный),Nauczyciel (Mój nauczyciel jest wymagający)
Урок (У меня урок польского в десять),Lekcja (Mam lekcję polskiego o dziesiątej)
Лекарство (Мне нужно принять лекарство),Lek (Muszę wziąć lek)
Страна (Польша — моя любимая страна),Kraj (Polska to mój ulubiony kraj)
Слушать (Слушай внимательно),Słuchaj (Słuchaj uważnie)
Ничто (Ничего не понимаю),Nic (Nic nie rozumiem)
Всё (Всё в порядке),Wszystko (Wszystko w porządku)
Голова (У меня болит голова),Głowa (Boli mnie głowa)
Акция (Сюжет фильма был интересным),Akcja (Akcja filmu była ciekawa)
Делать (Что ты делаешь в выходные?),Robić (Co robisz w weekend?)
Приятный (Ты очень приятный),Miły (Jesteś bardzo miły)
Целый (Весь день идёт дождь),Cały (Cały dzień pada deszcz)
Свободный (Ты свободен в пятницу?),Wolny (Czy jesteś wolny w piątek?)
Идея (У меня отличная идея),Pomysł (Mam świetny pomysł)
Имейл (Отправь мне имейл),Mail (Wyślij mi maila)
Случиться (Случилось что-то важное),Stać (Stało się coś ważnego)
Доступный (Этот курс доступен онлайн),Dostępny (Ten kurs jest dostępny online)
Пятница (В пятницу я иду в кино),Piątek (W piątek idę do kina)
Подтвердить (Подтверждаю получение сообщения),Potwierdzić (Potwierdzam odbiór wiadomości)
Спасибо; благодаря (Спасибо за помощь),Dzięki (Dzięki za pomoc)
Потребность (Нет нужды спешить),Potrzeba (Nie ma potrzeby się spieszyć)
Должен (Ты должен отдохнуть),Powinien (Powinieneś odpocząć)
Остаться (Останься со мной),Zostać (Zostań ze mną)
Собрать (Я собрал все документы),Zebrać (Zebrałem wszystkie dokumenty)
Узнавать (Я узнаю новые вещи),Dowiadywać (Dowiaduję się nowych rzeczy)
Соответствовать; согласный (Это соответствует правде),Zgodny (To jest zgodne z prawdą)
Прикладывать; пример (Прикладывай усилия к учёбе),Przykładać (Przykładaj się do nauki)
Выражение (Это трудное выражение),Wyraz (To trudne wyrażenie)
Спасательный (Позвони в скорую помощь),Ratunkowy (Zadzwoń na pogotowie ratunkowe)
Разговаривать (Я люблю разговаривать с друзьями),Rozmawiać (Lubię rozmawiać z przyjaciółmi)
Салон (Я иду в парикмахерскую),Salon (Idę do salonu fryzjerskiego)
Врач (Мне нужно идти к врачу),Lekarz (Muszę iść do lekarza)
Семейный (У нас семейная встреча),Rodzinny (Mamy rodzinne spotkanie)
Знакомые (Я навестил знакомых в Гданьске),Znajomych (Odwiedziłem znajomych w Gdańsku)
Встретить (Я встретил его в магазине),Spotkać (Spotkałem go w sklepie)
Директор (Директор школы говорит по-английски),Dyrektor (Dyrektor szkoły mówi po angielsku)
Разный (У нас разные мнения),Różny (Mamy różne zdania)
Экскурсия (Я люблю велосипедные поездки),Wycieczki (Lubię wycieczki rowerowe)
Цель (Какая цель твоего визита?),Cel (Jaki jest cel twojej wizyty?)
Городской (Городской автобус едет в центр),Miejski (Autobus miejski jedzie do centrum)
Постоянно (Постоянно идёт дождь),Ciągle (Ciągle pada deszcz)
Авто (У меня новая машина),Auto (Mam nowe auto)
Велосипед (Я еду на работу на велосипеде),Rower (Jadę do pracy rowerem)
Конкурс (Я принимаю участие в конкурсе),Konkurs (Biorę udział w konkursie)
Школа (Моя школа недалеко),Szkoła (Moja szkoła jest niedaleko)
Дедушка (Моему дедушке семьдесят лет),Dziadek (Mój dziadek ma siedemdziesiąt lat)
Торт (Я сделал торт на день рождения),Tort (Zrobiłem tort na urodziny)
Спектакль (Спектакль в театре был великолепным),Spektakl (Spektakl w teatrze był wspaniały)
Выехать (Я выехал из Варшавы утром),Wyjechać (Wyjechałem z Warszawy rano)
Сериал (Я смотрю интересный сериал),Serial (Oglądam ciekawy serial)
"Оказаться (Оказалось, что ты прав)","Okazać (Okazało się, że masz rację)"
Покупка (Я сделал покупки в супермаркете),Zakup (Zrobiłem zakupy w supermarkecie)
Комната; мир (У меня маленькая комната),Pokój (Mam mały pokój)
Каникулы (Я планирую каникулы на море),Wakacje (Planuję wakacje nad morzem)
Находить (Где находится вокзал?),Znajdować (Gdzie znajduje się dworzec?)
Правый (Поверни направо),Prawa (Skręć w prawo)
"Чтобы (Я сделаю это, чтобы ты был доволен)","Żeby (Zrobię to, żebyś był zadowolony)"
Сообщение (Я получил важное сообщение),Wiadomość (Dostałem ważną wiadomość)
Дата (Какая сегодня дата?),Data (Jaka jest dzisiejsza data?)
Насморк (У меня насморк и кашель),Katar (Mam katar i kaszel)
Получить (Я получил подарок от друга),Dostać (Dostałem prezent od przyjaciela)
Сын (Мой сын ходит в школу),Syn (Mój syn chodzi do szkoły)
Рекомендовать (Я рекомендую тебе эту книгу),Polecić (Polecam ci tę książkę)
Данные (Дай мне свои личные данные),Dane (Podaj mi swoje dane osobowe)
Понедельник (В понедельник я начинаю работу),Poniedziałek (W poniedziałek zaczynam pracę)
Интересовать (Я интересуюсь фотографией),Interesować (Interesuję się fotografią)
Стоит (Стоит учить языки),Warto (Warto uczyć się języków)
Близкий (В ближайшее время еду в Краков),Najbliższym (W najbliższym czasie jadę do Krakowa)
Поддержка (Спасибо за поддержку),Wsparcie (Dziękuję za wsparcie)
Слышать (Я слышу музыку из соседней комнаты),Słyszeć (Słyszę muzykę z pokoju obok)
Будущее (В будущем я хочу жить в Гданьске),Przyszłość (W przyszłości chcę mieszkać w Gdańsku)
Пойти (Я пойду в магазин за покупками),Pójść (Pójdę do sklepu po zakupy)
Объявление (Я нашёл объявление о работе),Ogłoszenie (Znalazłem ogłoszenie o pracy)
Слушать (Я люблю слушать музыку),Słuchać (Lubię słuchać muzyki)
Смотреть (Я смотрю телевизор вечером),Oglądać (Oglądam telewizję wieczorem)
Абонемент (Я купил абонемент в спортзал),Karnet (Kupiłem karnet na siłownię)
Возможный (Это возможно?),Możliwy (Czy to możliwe?)
Работать (Я работаю в офисе),Pracować (Pracuję w biurze)
Многие (У меня много обязанностей),Wiele (Mam wiele obowiązków)
Гость (Гости пришли в восемь),Gość (Goście przyszli o ósmej)
Предмет (Какой твой любимый предмет?),Przedmiot (Jaki jest twój ulubiony przedmiot?)
Вежливый (Это вежливая форма),Grzecznościowy (To forma grzecznościowa)
Телевидение (Я смотрю телевизор),Telewizja (Oglądam telewizję)
По истечении (По истечении срока мы не принимаем возвраты),Upływ (Po upływie terminu nie przyjmujemy zwrotów)
Дополнить (Заполни пропуски в тексте),Uzupełnić (Uzupełnij braki w tekście)
Услуга (Эта услуга дорогая),Usługa (Ta usługa jest droga)
Приглашать (Я приглашаю тебя к себе),Zapraszać (Zapraszam cię do mnie)
Друг (Мой друг живёт в Гданьске),Przyjaciel (Mój przyjaciel mieszka w Gdańsku)
Служебный (У меня служебная машина),Służbowy (Mam służbowy samochód)
Проинформировать (Я проинформирую тебя о результате),Poinformować (Poinformuję cię o wyniku)
Извиниться (Я хочу извиниться перед тобой за вчерашнее),Przeprosić (Chcę cię przeprosić za wczoraj)
Соответственно (Оденься соответственно погоде),Odpowiednio (Ubierz się odpowiednio do pogody)
Занимать (Я занимаюсь программированием),Zajmować (Zajmuję się programowaniem)
Коммуникация (Городской транспорт хороший),Komunikacja (Komunikacja miejska jest dobra)
Арендовать (Я снял квартиру в Гданьске),Wynająć (Wynająłem mieszkanie w Gdańsku)
Выходной (В выходные еду на море),Weekend (W weekend jadę nad morze)
Прокат (Прокат велосипедов рядом),Wypożyczalnia (Wypożyczalnia rowerów jest obok)
Убедить (Я убедил его в своей идее),Przekonać (Przekonałem go do swojego pomysłu)
Автомобиль (У меня красная машина),Samochód (Mam czerwony samochód)
Покупать (Я покупаю еду на рынке),Kupować (Kupuję jedzenie na targu)
Планировать (Я планирую отпуск в июле),Planować (Planuję wakacje w lipcu)
Мама (Моя мама готовит обед),Mama (Moja mama gotuje obiad)
Позвонить (Позвони мне вечером),Zadzwonić (Zadzwoń do mnie wieczorem)
Член (Я член клуба),Członek (Jestem członkiem klubu)
Дополнительный (У меня есть дополнительный билет),Dodatkowy (Mam dodatkowy bilet)
Аттракцион (В Гданьске много достопримечательностей),Atrakcja (Gdańsk ma wiele atrakcji)
Требование (Это требование сложное),Wymaganie (To wymaganie jest trudne)
Принадлежать; следовать (Это принадлежит мне),Należeć (To należy do mnie)
Эпизод (Я смотрю новую серию сериала),Odcinek (Oglądam nowy odcinek serialu)
Сосед (Мой сосед приятный),Sąsiad (Mój sąsiad jest miły)
"Подъезд (Я живу на третьем этаже, подъезд B)","Klatka (Mieszkam na trzecim piętrze, klatka B)"
Квартплата (Я плачу квартплату каждый месяц),Czynsz (Płacę czynsz co miesiąc)
Панельный дом (Я живу в панельном доме),Blok (Mieszkam w bloku z wielkiej płyty)
Цвет (Я купил цветы для жены),Kwiat (Kupiłem kwiaty dla żony)
Давно (Давно тебя не видел),Dawno (Dawno cię nie widziałem)
"Затем (Сначала иди прямо, затем поверни налево)","Następnie (Najpierw idź prosto, następnie skręć w lewo)"
Уровень (Какой у тебя уровень польского?),Poziom (Jaki jest twój poziom polskiego?)
"Слышать (Я слышу, что ты говоришь по-польски)","Słyszać (Słyszę, że mówisz po polsku)"
Приехать (Я приехал поездом),Przyjechać (Przyjechałem pociągiem)
"Внимание (Внимание, ступеньки!)","Uwaga (Uwaga, schody!)"
Горло (У меня болит горло),Gardło (Boli mnie gardło)
Занять (Займи мне это место),Zająć (Zajmij mi to miejsce)
Конкретно (Говори конкретно),Konkretnie (Mów konkretnie)
Некий; уверенный (Я уверен в своей правоте),Pewny (Jestem pewny swojej racji)
Мастер по ремонту (Мастер починил стиральную машину),Serwisant (Serwisant naprawił pralkę)
Описать (Опиши свою комнату),Opisać (Opisz swój pokój)
Связаться (Свяжись со мной),Skontaktować (Skontaktuj się ze mną)
Подходящий (Это подходящий момент),Odpowiedni (To odpowiedni moment)
Контакт (У меня есть контакт хорошего врача),Kontakt (Mam kontakt do dobrego lekarza)
Правота (Ты прав),Racja (Masz rację)
Удаться (Мне удалось сдать экзамен),Udać (Udało mi się zdać egzamin)
Могла бы (Ты могла бы мне помочь?),Mogłabyś (Mogłabyś mi pomóc?)
Кто-то (Кто-то звонит),Ktoś (Ktoś dzwoni)
Правило (Это простое правило),Zasada (To prosta zasada)
Вопрос (У меня вопрос),Pytanie (Mam pytanie)
Искать (Я ищу хороший отель),Szukać (Szukam dobrego hotelu)
Маленький (У меня маленькая квартира),Mały (Mam małe mieszkanie)
Два (У меня два билета),Dwa (Mam dwa bilety)
Записать (Я записался на курс),Zapisać (Zapisałem się na kurs)
Род (Какой это род? Мужской или женский?),Rodzaj (Jaki to rodzaj? Męski czy żeński?)
Пакет (Я купил пакет услуг),Pakiet (Kupiłem pakiet usług)
Распоряжение (Я в твоём распоряжении),Dyspozycja (Jestem do twojej dyspozycji)
Узнать (Я узнал кое-что новое),Dowiedzieć (Dowiedziałem się czegoś nowego)
Зависеть (Это зависит от тебя),Zależeć (To zależy od ciebie)
Навык (У меня есть навык готовки),Umiejętność (Mam umiejętność gotowania)
Проект (Я работаю над новым проектом),Projekt (Pracuję nad nowym projektem)
Центр (Центр города красивый),Centrum (Centrum miasta jest piękne)
Найти (Я нашёл хороший ресторан),Znaleźć (Znalazłem dobrą restaurację)
Трудно (Трудно сказать),Trudno (Trudno powiedzieć)
Частный (Это частное дело),Prywatny (To sprawa prywatna)
